0,"with world leaders for the g-7 summit to target one of the biggest threats facing the world today. climate change. people are more concerned in the state department with climate change, with global warming,"
1,"obama is in germany to meet with world leaders for the g-7 summit to target one of the biggest threats facing the world today. climate change. people are more concerned in the state department with climate change, with global warming,"
2,"is climate change and global warming, which makes him, to many people, look slightly daffy. i think isis -- they don't care what republicans say about syrian refugees. they're like laughing at bernie sanders for saying climate"
3,"history when it comes to climate change. one of the most interesting elements of this global pact is there's a name and shame component. every five years, the countries of the world have to come forward and say here's all we've done when it comes to global warming."
4,there's no one specific cause. you realize the sea level was already higher due to global warming. there's pretty good reporting that shows that hundreds if not thousands of homes were flooded that wouldn't have been in the absence of climate change
5,and the amount of greenhouse gas they give up off. they have a mega cities carbon project. one of the things they're doing is testing out new ways to measure the output of greenhouse
6,get done. the biggest hurdle is to convince oil-producing states like saudi arabia to get on the board of the eliminating greenhouse gas emissions this
7,"to combatting climate change even as we go after terrorist network. the reason is because this one trend, clima climate change, af"
8,"to replace fossil fuels, coal and oil and gas with clean energy in order to meet the targets of this agreement and keep global warming below 3.6"
9,"assessment. the divide in the world is between the technological change, climate change."
10,"i know you. i know, i know. you're going to have the best time. but before you go see star war, look at this thing from nasa, real nasaing looing at a real thing. this is nasa's animation, which shows the world's biggest cities and the amount of greenhouse gas"
11,"let me finish. and as the leaders of the free world race to try and save the planet in paris, ted cruz held his own climate summit in d.c. today into this is a hearing on the science behind claims of global warming."
12,"obama is in germany to meet with world leaders for the g-7 summit trumpeting one of the biggest threats facing the world today. climate change. people are more concerned in the administration and in the state department with climate change,"
13,marks the most concrete manifestation of the payoff for his strategy. he's done it with cue yeah and climate change with china.
14,warming. there's pretty good reporting that shows that hundreds if not thousands of homes were flooded that wouldn't have been in the absence of climate change raising the water level. that's ridiculous. we've got a president that wants to take on climate change and
15,"leader mccarthy, it's willie, the president of the united states is in paris for the last several days talking about climate change. you all voted tuesday to block part of his plan. what is a reasonable thing for the president to ask of you in terms of climate change?"
16,"says it's not a crisis? are you saying that super storm sandy was caused by global warming, chris? come on. you've got no evidence of that you're just making that up. i'm sorry? there's no one specific cause. you realize the sea level was already higher due to global"
17,"i didn't get off the turnip truck. let me finish. and as the leaders of the free world race to try and save the planet in paris, ted cruz held his own climate summit in d.c. today into this is a hearing on the science behind claims of global warming."
18,"after two decades of negotiations and two weeks of intense talks in paris, nearly every country in the world approved the first global effort to fight climate change."
19,"instead of children that are being executed. he says climate change is number one, which is why putin and iran and north korea love him because, while they're dismantling the world he is playing hackie sack with bill nye the science guy. now president obama isn't the only one arguing climate change"
20,"leak. let the state come in and do it. one thing it turns out we are great at in this country is drilling holes really, really, really, really, really, really deep in the ground for oil and gas purposes. one thing we're not so great at is figuring out what to do with those holes when things go wrong with them. this leak is so big it's a quarter of the greenhouse gas"
21,"does. this is emblematic of the problem. we should invoke article v and say what happened to france is an attack on all the nato nations. following up on mike's climate change question,"
22,"resources to bring clean energy technologies to market faster. what gives me confidence that progress is possible is somebody like bill gates, who i was with yesterday, understands that tackling climate change is not"
23,countries we sometimes don't get along with to put together some sort of way forward on that difficult crucial international problem. on the iranian nuclear deal the prospect of a nuclear iran. on climate change.
24,"particular climate change and you heard bill hayesencamp say it could be 10% less water because of climate change but some scientists say much more. at worst -- at best i should say you could see stress, at worst a climate crisis. what is being done to deal"
25,fight the terror group. we're at war. we're using the might of the finest fighting force the world has ever known. jim miklaszewski is live at the pentagon. a political storm brewing tonight over climate change.
26,they said the governor's road map would have greatly helped the state's long-term fiscal plan. you said something interesting this morning on our air about climate change. take a listen. do you believe in climate
27,"years ago, three days after 9/11. not a political contest. not proof but interesting. let's turn to paris, france where more than 150 leaders from around the world under one roof yesterday for historic talks targeting climate change."
28,"do you think this is good for hillary clinton? it's bad for hillary and marco. nobody upset at how beautiful it is outside. it was a spring morning this morning in new york city. my treends, climate change is"
29,yooyear. person of the year? i am going to say the pope. he was -- we have a winner. he was able to unify the catholic church. my favorite was when he said he believed in climate change and a
30,i think it's fair talks are not front of mind for many american voters or for the media at the moment. that's precisely what makes climate change such an insidious threat to the planet's health and security. the danger posed by climate
31,"hillary clinton has an extraordinary opportunity here. people in the campaign and republican establishment who keep saying donald trump is not going to be the nominee, why? give me evidence. this is like republicans saying there's no such thing as climate change."
32,"tony, the president today met with -- or talked about island nations. did he have a meeting also with some smaller island nations? heads of state from island nations. really extraordinary moment in history because the president said, because of climate change,"
33,won't take on isis. he says the real enemy is cynicism. forgive me if i'm cynical about that. we need a president that thinks that national security is the real priority and the real threat and the real crisis and not climate change.
34,reagan was acquainted with the science. he knew -- he counted on the scientists to give him good advice. and then he took steps to ensure the future. and that's of course what we need to be doing on climate change.
35,"limit carbon emissions. its aim is to stop the world from heating up beyond 2 degrees celsius, or 3.6 degrees fahrenheit. that's the outer temperature limit scientists say we can't exceed if we are to avert catastrophic effects of climate change."
36,"bernie sanders essentially said a major problem with all of this isis stuff and terrorism and what's going on in the west is climate change and global warming, which makes him, to"
37,"but more than 8.5 minutes into president obama's remarks, and with no signs of slowing down, loud beeps started sounding out across the auditorium, as if to cue him to wrap it up. the president ignored them. and plowed ahead with his urgent message on climate change."
38,state john kerry on the climate. i believe this moment can be a turning point for the world. we've shown that the world has both the will and the ability to take on this challenge. that was president obama last night on the climate change
39,"deep cuts in greenhouse gas emissions from power plants. let's go live to capitol hill where nbc's luke russert is this morning. luke, good seeing you. what are republicans doing to fight the president on climate change? reporter: it's amazing how timing works in washington, right, josé?"
40,"[ cheers and applause ] diplomats from around the world celebrates what is being hailed as a historic deal that would seek a worldwide limit in greenhouse gas emissions, reducing the effects of climate change in the years ahead. the argument comes as global temperatures have climbed in"
41,"bernie sanders essentially said a major problem with all of this isis stuff and terrorism and what's going on in the west is climate change and global warming, which makes him, to many people, look slightly"
42,"and the water level's dropping at a rate of 120 feet over the last 15 years. that must give you pause. it does. it hit its lowest level of course last may and june, and the outlook is to continue to drop. the colorado river is ground zero for climate change."
43,"fair enough. i will say lindsey graham out of the race, remember, when south carolina made the decision to take the confederate flag down at capitol grounds, lindsey graham was there, part of that bipartisan decision. lindsey graham is the only republican candidate who believes that climate change is"
