0,"in speaking with environmentalists and even conservative think tanks today, both sides agree these are the rules that are most vulnerable under the trump administration. the clean power plan, which really has an emphasis on greenhouse gases, emissions from"
1,"this is from virginia. he faced pretty tough questions on health care, immigration, and climate change. do you deny climate change?"
2,and now general mattis is trying to clean up the mess. they participate in international peace keeping and climate change.
3,"where we have seen a wave in town halls. on sa on saturday, republican gary palmer was booed following climate change."
4,"previously, we are taking his words and turning them into policies and dollars. reporter: the state department's many programs include development, democracy, education, disease prevention, climate change, helping women."
5,"here is sarah gannon. reporter: as we have seen, there has been angry at town halls. on saturday, republican congressman, gary palmer, was booed following a question on climate change."
6,"environmental benefit. critics are pushing back hard saying pruitt is a climate change denier. the 48-year-old once said, quote, scientists continue to disagree about the degree and extent of global warming and its connection to the actions of"
7,they agree first set of environmental laws that could be targeted are the clean power plant that limits greenhouse gases and the waters of the dwrund truly that allows the federal government to police the
8,"regulatory power to penalize fossil fuels. as attorney general of oklahoma, the biggest oil producing state in the nation pruitt launched multiple legal battles against the obama administration's key climate"
9,francis wrote about it. basically questions global warming. what about the treatment of women? we all heard that article how he
10,from the fight against global warming. we have this incredible moment in paris. it was unbelievable to see every country sign on to a pack of 0
11,wish we had done the following. and the steps he is taking are proactive in making this country safer. -- a carbon tax and secondly could you set up tomorrow's meeting with the airline ceos
12,do i deny climate change? no the climate changes all the time. part to have boos might have been come because of the comment
13,"of state rex tillerson has expressed about paris and climate change and the president has heard from some world leaders, is the president still"
14,"department's many programs include development, democracy, education, disease prevention, climate change, helping women. and today more than 100 retired top u.s. military officials spanning multiple"
15,they call scott pruitt a climate change denier. he will put a stop to needles regulation that's killed jobs. we expect epa to return to
16,darryl isa. picture on milk jugs. from obamacare to climate change d.c. came home only to find angry voters pointing right back at the nation's capitol.
17,enforcement tasks. the clean air act and the clean water act. also no mention of climate change. outside groups already speculating on what is to come.
18,"income wealth inequality. those that want to make colleges and universities tuition free, who understand like president trump that climate change ask real and we are going to support"
19,"question on former governor rick perry, he's been criticized for having very little knowledge or experience on nuclear or climate change, what's your best piece of advice for him?"
20,"you undermine itby denying science and facts about climate change and many others, that makes you dangerous. that makes you a threat to democracy, and that's what i wrote."
21,congressman gary palmer was booed in his home district in alabama following a question on climate change. why are you doing -- why are you not getting -- because the science is not --  _
